key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
caliburn_boss_0300_npc_00_00017,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,He who massacred our Pailunese allies!,He who massacred our Pailunese allies!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00018,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Caliburn is behind all of these atrocities!,Caliburn is behind all of these atrocities!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00019,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Even now, his jaws are set to snap around us!","Even now, his jaws are set to snap around us!",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00020,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Who are you?!,Who are you?!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00021,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,You are the ones whose tale will be written in the history of this blood-soaked land.,You are the ones whose tale will be written in the history of this blood-soaked land.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00022,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"You are the living, sworn to stand until our enemies fall!","You are the living, sworn to stand until our enemies fall!",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00023,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,23,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"You are the unbroken, hungry for freedom!","You are the unbroken, hungry for freedom!",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00024,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,24,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Today, by our foes' blood,","Today, by our foes' blood,",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00025,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,25,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We stand shoulder to shoulder for a single purpose—,We stand shoulder to shoulder for a single purpose—,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00026,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,26,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,to protect those we cherish!,to protect those we cherish!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00027,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,27,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Our neighbors! Our comrades! Our kin!,Our neighbors! Our comrades! Our kin!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00028,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,28,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"On this day, we will fight as one—","On this day, we will fight as one—",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00029,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,29,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,united until our final breath!,united until our final breath!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00030,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,30,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"This invasion, this reign of oppression,","This invasion, this reign of oppression,",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00031,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,31,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Today!,Today!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00032,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,32,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Blood will be spilled.,Blood will be spilled.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00033,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,33,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Lives may be lost.,Lives may be lost.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00034,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,34,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,But we will not yield.,But we will not yield.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00035,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,35,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Lift high your swords and shields!,Lift high your swords and shields!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00036,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,36,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Sound the horn of our final battle!,Sound the horn of our final battle!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00037,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,37,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"We will march, and our enemies will fall!","We will march, and our enemies will fall!",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00038,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,38,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Excellent.,Excellent.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00039,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,39,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"You're a welcome sight, Greymane.","You're a welcome sight, Greymane.",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00040,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,40,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,We'll lead the charge.,We'll lead the charge.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00041,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,41,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,The warhorn will be your cue to act.,The warhorn will be your cue to act.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00042,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,42,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"Take care. We'll meet again at Fort Musket, alive.","Take care. We'll meet again at Fort Musket, alive.",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00047,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,47,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00048,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,48,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ends here. Today. For good!,ends here. Today. For good!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00049,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,49,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,we carve our legacy into the land once more!,we carve our legacy into the land once more!,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_01_00043,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_01,boss_0300_npc_01,boss_0300,boss,0300,43,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,My lord.,My lord.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_01_00044,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_01,boss_0300_npc_01,boss_0300,boss,0300,44,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,The Greymanes have arrived.,The Greymanes have arrived.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_01_00045,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_01,boss_0300_npc_01,boss_0300,boss,0300,45,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Hey, you see me bangin' that drum? Bloody brilliant, wasn't I?","Hey, you see me bangin' that drum? Bloody brilliant, wasn't I?",gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_01_00046,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_01,boss_0300_npc_01,boss_0300,boss,0300,46,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Mmm.,Mmm.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_player_00000,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_player,boss_0300_player,boss_0300,boss,0300,0,player,,player,Player,Player,Player,,role,,Morale is high. Good.,Morale is high. Good.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_player_00001,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_player,boss_0300_player,boss_0300,boss,0300,1,player,,player,Player,Player,Player,,role,,We'll strike their main forces first.,We'll strike their main forces first.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_player_00002,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_player,boss_0300_player,boss_0300,boss,0300,2,player,,player,Player,Player,Player,,role,,Then we can secure the way to the fort.,Then we can secure the way to the fort.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_player_00003,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_player,boss_0300_player,boss_0300,boss,0300,3,player,,player,Player,Player,Player,,role,,I'll take care of Caliburn.,I'll take care of Caliburn.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_player_00004,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_player,boss_0300_player,boss_0300,boss,0300,4,player,,player,Player,Player,Player,,role,,Everyone's prepared.,Everyone's prepared.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_player_00005,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_player,boss_0300_player,boss_0300,boss,0300,5,player,,player,Player,Player,Player,,role,,Understood.,Understood.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_player_00006,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_player,boss_0300_player,boss_0300,boss,0300,6,player,,player,Player,Player,Player,,role,,See you there.,See you there.,gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_00_00004,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_00,boss_0400_npc_00,boss_0400,boss,0400,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,Aye. Just waiting on the signal.,Aye. Just waiting on the signal.,gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_00_00005,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_00,boss_0400_npc_00,boss_0400,boss,0400,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_01_00006,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_01,boss_0400_npc_01,boss_0400,boss,0400,6,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Signal, my arse.","Signal, my arse.",gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_01_00007,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_01,boss_0400_npc_01,boss_0400,boss,0400,7,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,I've got a better idea.,I've got a better idea.,gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_01_00008,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_01,boss_0400_npc_01,boss_0400,boss,0400,8,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,"Just burst in, tear it down! Fuck the signal, eh?","Just burst in, tear it down! Fuck the signal, eh?",gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_01_00009,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_01,boss_0400_npc_01,boss_0400,boss,0400,9,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,There you are. What'd he say?,There you are. What'd he say?,gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_01_00010,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_01,boss_0400_npc_01,boss_0400,boss,0400,10,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,Can we go yet?,Can we go yet?,gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_01_00011,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_01,boss_0400_npc_01,boss_0400,boss,0400,11,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_01_00012,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_01,boss_0400_npc_01,boss_0400,boss,0400,12,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,This is bloody daft.,This is bloody daft.,gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_01_00013,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_01,boss_0400_npc_01,boss_0400,boss,0400,13,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,I bet Lanford's already in there having a grand old time.,I bet Lanford's already in there having a grand old time.,gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_01_00014,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_01,boss_0400_npc_01,boss_0400,boss,0400,14,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,He's leaving us nothing but scraps!,He's leaving us nothing but scraps!,gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_01_00015,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_01,boss_0400_npc_01,boss_0400,boss,0400,15,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0400_npc_01_00016,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0400,Caliburn 0400,caliburn_boss_0400,boss_0400,caliburn_boss_0400_npc_01,boss_0400_npc_01,boss_0400,boss,0400,16,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,About fucking time!,About fucking time!,gamedata/localizationstring_eng.paloc
